Country,GDP
United States of America,25462700
China,17963171
Japan,4231141
Germany,4072192
India,3385090
United Kingdom,3070668
France,2782905
Russia,2240422
Canada,2139840
Italy,2010432
Brazil,1920096
Australia,1675419
"Korea, Rep.",1665246
Mexico,1414187
Spain,1397509
Indonesia,1319100
Saudi Arabia,1108149
Netherlands,991115
Türkiye,905988
Switzerland,807706
Poland,688177
Argentina,632770
Sweden,585939
Norway,579267
Belgium,578604
Cuba,545218
Ireland,529245
Israel,522033
United Arab Emirates,507535
Thailand,495341
Nigeria,477386
"Egypt, Arab Rep.",476748
Austria,471400
Singapore,466789
Bangladesh,460201
Vietnam,408802
Malaysia,406306
South Africa,405870
Philippines,404284
Denmark,395404
"Iran, Islamic Rep.",388544
Pakistan,376533
"Hong Kong SAR, China",359839
Colombia,343939
Romania,301262
Chile,301025
Czech Republic,290924
Finland,280826
Iraq,264182
Portugal,251945
New Zealand,247234
Peru,242632
Qatar,237296
Kazakhstan,220623
Greece,219066
Algeria,191913
Kuwait,184558
Hungary,178789
Ukraine,160503
Morocco,134182
Ethiopia,126783
Slovak Republic,115469
Ecuador,115049
Oman,114667
Dominican Republic,113642
Puerto Rico,113435
Kenya,113420
Angola,106714
Guatemala,95003
Bulgaria,89040
Luxembourg,82275
Uzbekistan,80392
Azerbaijan,78721
Panama,76523
Tanzania,75709
Sri Lanka,74404
Ghana,72839
Belarus,72793
Uruguay,71177
Croatia,70965
Lithuania,70334
Côte d'Ivoire,70019
Costa Rica,68381
Serbia,63502
Slovenia,62118
Myanmar,59364
"Congo, Dem. Rep.",58066
Sudan,51662
Jordan,47451
Tunisia,46665
Libya,45752
Turkmenistan,45611
Uganda,45559
Bahrain,44391
Cameroon,44342
Bolivia,43069
Paraguay,41722
Latvia,41154
Nepal,40828
Estonia,38101
El Salvador,32489
Honduras,31718
Papua New Guinea,30633
Cambodia,29957
Zambia,29784
Cyprus,28439
Trinidad and Tobago,27899
Iceland,27842
Senegal,27684
Georgia,24605
Bosnia and Herzegovina,24528
Lebanon,23132
"Macao SAR, China",21979
Guinea,21228
Gabon,21072
Zimbabwe,20678
Botswana,20352
Haiti,20254
Armenia,19503
West Bank and Gaza,19112
Burkina Faso,18885
Albania,18882
Mali,18827
Mozambique,17851
Malta,17765
Benin,17402
Jamaica,17098
Mongolia,16811
Brunei Darussalam,16682
Lao PDR,15724
Nicaragua,15672
Guyana,15358
Madagascar,14955
"Congo, Rep.",14616
Afghanistan,14583
Moldova,14421
Niger,13970
North Macedonia,13563
Rwanda,13313
Malawi,13165
Mauritius,12898
"Bahamas, The",12897
Chad,12704
Namibia,12607
Equatorial Guinea,11814
Channel Islands,11736
Syrian Arab Republic,11159
Kyrgyz Republic,10931
Tajikistan,10492
Mauritania,10375
New Caledonia,10071
Kosovo,9429
Monaco,8596
Togo,8126
Somalia,8126
Bermuda,7551
Liechtenstein,7186
Isle of Man,6684
Maldives,6190
Guam,6123
Montenegro,6096
French Polynesia,6080
Cayman Islands,6028
Barbados,5638
Fiji,4943
Eswatini,4854
Virgin Islands (U.S.),4204
Liberia,4001
Sierra Leone,3970
Faroe Islands,3650
Suriname,3621
Djibouti,3515
Andorra,3352
Greenland,3236
Timor-Leste,3163
Aruba,3126
Burundi,3073
Belize,2824
Curaçao,2700
Lesotho,2553
Bhutan,2540
Central African Republic,2383
Cabo Verde,2315
"Gambia, The",2273
St. Lucia,2065
San Marino,1855
Antigua and Barbuda,1758
Guinea-Bissau,1634
Solomon Islands,1596
Seychelles,1588
Sint Maarten (Dutch part),1572
Grenada,1256
Comoros,1243
Turks and Caicos Islands,1139
Vanuatu,984
St. Kitts and Nevis,962
St. Vincent and the Grenadines,949
Northern Mariana Islands,858
Samoa,832
American Samoa,709
Dominica,612
São Tomé and Principe,547
Tonga,469
"Micronesia, Fed. Sts.",427
Marshall Islands,280
Kiribati,223
Palau,218
Nauru,151
Tuvalu,60
Venezuela,482400
Central African Rep.,2500
Dem. Rep. Congo,55000
Gabon,20220
Congo,5350
Iran,359700
Turkey,819000
Egypt,404100
Czechia,281800
Slovakia,116500
Dominican Rep.,94240
S. Sudan,12000
Eritrea,2065
Somaliland,1600
Yemen,26980
Syria,64000
Kyrgyzstan,21000
Laos,18000
North Korea,40000
South Korea,1640000
Taiwan,602000
W. Sahara,906
Bosnia and Herz.,19500
Macedonia,10600


