Country,Population
United States of America,332000000
China,1400000000
Japan,126000000
Germany,83000000
India,1400000000
United Kingdom,68000000
France,67000000
Russia,146000000
Canada,38000000
Italy,60000000
Brazil,213000000
Australia,26000000
Korea Rep.,52000000
Mexico,130000000
Spain,47000000
Indonesia,276000000
Saudi Arabia,35000000
Netherlands,17000000
Turkey,84000000
Switzerland,8600000
Poland,38000000
Argentina,45000000
Sweden,10000000
Norway,5400000
Belgium,11600000
Cuba,11000000
Ireland,5000000
Israel,9200000
United Arab Emirates,10000000
Thailand,70000000
Nigeria,211000000
Egypt,104000000
Austria,9000000
Singapore,5800000
Bangladesh,166000000
Vietnam,98000000
Malaysia,32000000
South Africa,60000000
Philippines,113000000
Denmark,5800000
Iran,84000000
Pakistan,225000000
Hong Kong SAR China,7500000
Colombia,51000000
Romania,19000000
Chile,19000000
Czech Republic,11000000
Finland,5500000
Iraq,41000000
Portugal,10000000
New Zealand,5000000
Peru,33000000
Qatar,2800000
Kazakhstan,19000000
Greece,10000000
Algeria,44000000
Kuwait,4200000
Hungary,9700000
Ukraine,41000000
Morocco,37000000
Ethiopia,117000000
Slovakia,5400000
Ecuador,17000000
Oman,5100000
Dominican Republic,11000000
Puerto Rico,3000000
Kenya,54000000
Angola,33000000
Guatemala,18000000
Bulgaria,7000000
Luxembourg,630000
Uzbekistan,34000000
Azerbaijan,10000000
Panama,4300000
Tanzania,61000000
Sri Lanka,22000000
Ghana,31000000
Belarus,9400000
Uruguay,3500000
Croatia,4000000
Lithuania,2700000
Cote d'Ivoire,27000000
Costa Rica,5100000
Serbia,7000000
Slovenia,2100000
Myanmar,54000000
Congo Dem. Rep.,90000000
Sudan,44000000
Jordan,10000000
Tunisia,12000000
Libya,7000000
Turkmenistan,6000000
Uganda,46000000
Bahrain,1700000
Cameroon,27000000
Bolivia,12000000
Paraguay,7200000
Latvia,1900000
Nepal,30000000
Estonia,1300000
El Salvador,6500000
Honduras,10000000
Papua New Guinea,9000000
Cambodia,17000000
Zambia,19000000
Cyprus,1200000
Trinidad and Tobago,1400000
Iceland,360000
Senegal,17000000
Georgia,3700000
Bosnia and Herzegovina,3300000
Lebanon,7000000
Macao SAR China,640000
Guinea,13000000
Gabon,2200000
Zimbabwe,15000000
Botswana,2400000
Haiti,12000000
Armenia,3000000
West Bank and Gaza,5000000
Burkina Faso,21000000
Albania,2800000
Mali,20000000
Mozambique,31000000
Malta,500000
Benin,12000000
Jamaica,3000000
Mongolia,3300000
Brunei Darussalam,440000
Lao PDR,7300000
Nicaragua,6700000
Guyana,790000
Madagascar,28000000
Congo Rep.,5500000
Afghanistan,39000000
Moldova,2700000
Niger,24000000
North Macedonia,2100000
Rwanda,13000000
Malawi,19000000
Mauritius,1300000
Bahamas,400000
Chad,16000000
Namibia,2500000
Equatorial Guinea,1400000
Channel Islands,170000
Syrian Arab Republic,18000000
Kyrgyz Republic,6500000
Tajikistan,9500000
Mauritania,4600000
New Caledonia,290000
Kosovo,1800000
Monaco,39000
Togo,8300000
Somalia,16000000
Bermuda,64000
Liechtenstein,38000
Isle of Man,85000
Maldives,540000
Guam,170000
Montenegro,620000
French Polynesia,280000
Cayman Islands,65000
Barbados,290000
Fiji,900000
Eswatini,1400000
Virgin Islands US,100000
Liberia,5000000
Sierra Leone,8000000
Faroe Islands,49000
Suriname,590000
Djibouti,1000000
Andorra,77000
Greenland,56000
Timor-Leste,1300000
Aruba,110000
Burundi,12000000
Belize,400000
Curacao,160000
Lesotho,2200000
Bhutan,770000
Central African Republic,4800000
Cabo Verde,560000
Gambia,2400000
St. Lucia,180000
San Marino,34000
Antigua and Barbuda,98000
Guinea-Bissau,2000000
Solomon Islands,700000
Seychelles,98000
Sint Maarten,42000
Grenada,110000
Comoros,870000
Turks and Caicos Islands,38000
Vanuatu,310000
St. Kitts and Nevis,53000
St. Vincent and the Grenadines,110000
Northern Mariana Islands,57000
Samoa,200000
American Samoa,55000
Dominica,72000
Sao Tome and Principe,220000
Venezuela,28000000
Central African Rep.,4800000
Dem. Rep. Congo,90000000
Gabon,2200000
Congo,5500000
Iran,84000000
Turkey,84000000
Egypt,104000000
Czechia,11000000
Slovakia,5400000
Dominican Rep.,11000000
S. Sudan,11000000
Eritrea,3500000
Somaliland,3500000
Yemen,30000000
Syria,18000000
Kyrgyzstan,6500000
Laos,7300000
North Korea,25000000
South Korea,52000000
Taiwan,24000000
W. Sahara,600000
Bosnia and Herz.,3300000
Macedonia,2100000
